"date","summary","group"
"2011-02-09","Bitcoin reaches price parity with the U.S. dollar for the first time, a key psychological milestone.","#OfficialBitcoin"
"2011-03-01","Jed McCaleb sells Mt. Gox to Mark Karpeles for undisclosed amount, changing Bitcoin history forever.","#OfficialBitcoin"
"2011-03-06","Bitcoin network hash rate spikes to 900 Ghash/s before dropping, reflecting growing miner participation.","#OfficialBitcoin"
"2011-04-01","Gavin Andresen becomes lead developer, taking over from Satoshi.","#OfficialBitcoin"
"2011-04-23","Final known message to Mike Hearn: ""I've moved on to other things. Bitcoin is in good hands.""","Satoshi Nakamoto - Emails"
"2011-04-27","Bitcoin v0.3.21 released, continuing enhancements and bug fixes.","Bitcoin software variants"
"2011-06-01","First FPGA mining experiments begin, offering better efficiency than GPU mining.","#OfficialBitcoin"
"2011-06-02","~$10 — Then runs to ~$31.91 before correcting.","#OfficialBitcoin"
"2011-06-05","Bitcoin v0.3.22 released, improving client stability and usability.","Bitcoin software variants"
"2011-06-12","~$10 — Pullback after the first big rally.","#OfficialBitcoin"
"2011-06-14","Bitcoin v0.3.23 released, refining features and fixing minor bugs.","Bitcoin software variants"
"2011-06-19","Mt. Gox hacked; attacker manipulates BTC price to $0.01, leaking database of over 60,000 accounts.","#OfficialBitcoin"
"2011-06-19","First major Mt. Gox hack sees 25,000 BTC stolen, price manipulated to $0.01 in flash crash event.","#OfficialBitcoin"
"2011-07-08","~$31 — First major bubble peak before crash.","#OfficialBitcoin"
"2011-07-08","Bitcoin v0.3.24 released, adding security improvements and fixes.","Bitcoin software variants"
"2011-07-28","Jesse Powell founds Kraken after Mt. Gox visit, aiming to build a more secure crypto exchange.","Other crypto/web3 topics"
"2011-08-23","The first decentralized mining pool, P2Pool, mines a block to counter risks of mining centralization.","#OfficialBitcoin"
"2011-09-23","Bitcoin v0.4.0 released, a significant new version with wallet updates.","Bitcoin software variants"
"2011-10-03","The New Yorker speculates Satoshi is Vili Lehdonvirta or Michael Clear; both deny being Bitcoin's creator.","#OfficialBitcoin"
"2011-10-07","Charlie Lee releases Litecoin's client on GitHub, marking its public debut.","Other coins"
"2011-10-11","Fast Company suggests Neal King, Vladimir Oksman, and Charles Bry as possible Satoshi based on patents.","#OfficialBitcoin"
"2011-10-13","Litecoin network goes live, launching as a faster, ""digital silver"" Bitcoin alternative.","Other coins"
"2011-10-29","Bitcoin v0.4.1 released, improving transaction and block processing.","Bitcoin software variants"
"2011-11-06","Bitcoin v0.4.2 released, a bug fix for network and block relay.","Bitcoin software variants"
"2011-11-21","Bitcoin-Qt introduces first GUI wallet, making Bitcoin accessible to non-technical users.","#OfficialBitcoin"
"2011-11-21","Bitcoin-Qt v0.5.0 released, first Qt-based GUI version of Bitcoin","Bitcoin software variants"
"2011-11-29","Bitcoin v0.4.3 released, a minor update for stability.","Bitcoin software variants"
"2011-12-15","Bitcoin-Qt v0.5.1 released, stability fixes for new Qt client","Bitcoin software variants"
"2012-01-01","First web wallets appear (MyBitcoin, Instawallet) offering convenient online access.","#OfficialBitcoin"
"2012-01-09","Bitcoin-Qt v0.5.2 released, addressing issues and improving reliability","Bitcoin software variants"
"2012-01-16","Bitcoin appears on CBS ""The Good Wife,"" bringing crypto to mainstream TV.","#OfficialBitcoin"
"2012-03-01","Linode server hack drains 50,000 BTC, exposing vulnerabilities of centralized Bitcoin storage.","#OfficialBitcoin"
"2012-03-14","Bitcoin-Qt v0.5.3 released, with enhanced fixes and refinements","Bitcoin software variants"
"2012-03-30","Bitcoin-Qt v0.6.0 released, new features and wider improvements","Bitcoin software variants"
"2012-04-01","BIP16 (Pay to Script Hash) activates, enabling complex transaction scripts.","#OfficialBitcoin"
"2012-05-04","Bitcoin-Qt v0.6.1 released, follow-up bug fixes and refinements","Bitcoin software variants"
"2012-05-08","Bitcoin-Qt v0.6.2 released, addressing stability and performance","Bitcoin software variants"
"2012-05-09","Bitcoin Magazine's first issue ships; Buterin co-founds, shaping early crypto media.","#OfficialBitcoin"
"2012-06-25","Bitcoin-Qt v0.6.3 released, continued fixes for reliability","Bitcoin software variants"
"2012-07-12","Bitcoin Foundation announced to support standards and core development.","Government"
"2012-08-06","Bitcoinica faces lawsuits in San Francisco after hacks and ~$460k in customer losses.","#OfficialBitcoin"
"2012-09-04","Bitfloor exchange hacked for 24,000 BTC, forcing a temporary shutdown and later permanent closure.","#OfficialBitcoin"
"2012-09-17","Bitcoin-Qt v0.7.0 released, advancing wallet and client performance","Bitcoin software variants"
"2012-10-01","Community anticipates first halving event, discussing economic implications.","#OfficialBitcoin"
"2012-10-19","Bitcoin-Qt v0.7.1 released, bug fix update for stability","Bitcoin software variants"
"2012-11-01","Mining difficulty discussions intensify as halving approaches.","#OfficialBitcoin"
"2012-11-28","Bitcoin's first Halving cuts block rewards from 50 BTC to 25 BTC, initiating programmed supply scarcity.","#OfficialBitcoin"
"2012-12-01","Price impact analysis begins, long-term supply scarcity narrative emerges.","#OfficialBitcoin"
"2012-12-06","Bitcoin-Central gains EU regulatory approval as a payment services provider, a first for exchanges.","#OfficialBitcoin"
"2012-12-14","Bitcoin-Qt v0.7.2 released, final update before major 2013 releases","Bitcoin software variants"
"2013-01-01","First ASIC miners (Avalon) ship to customers, revolutionizing mining with specialized hardware.","#OfficialBitcoin"
"2013-01-01","Mobile wallets emerge (Bitcoin Wallet for Android) enabling smartphone Bitcoin usage.","#OfficialBitcoin"
"2013-01-03","Bitcoin's 4th birthday: 6.63M BTC mined; supply issuance on schedule.","#OfficialBitcoin"
"2013-02-01","Coinbase reports $1M in Bitcoin sales, signaling growing mainstream adoption and trust.""","Other crypto/web3 topics"
"2013-02-19","Bitcoin-Qt v0.8.0 released, with blockchain database improvements","Bitcoin software variants"
"2013-02-28","~$31 — BTC reclaims $31 for first time since 2011, closing a two-year recovery.","#OfficialBitcoin"
"2013-03-11","Chain split highlights scaling concerns as network approaches capacity limits.","#OfficialBitcoin"
"2013-03-11","Temporary chain split on 0.8 bug; rapid coordination restores consensus.","Bitcoin software variants"
"2013-03-18","Bitcoin-Qt v0.8.1 released, quick fixes to 0.8 release issues","Bitcoin software variants"
"2013-03-18","FinCEN classifies crypto exchangers as MSBs under AML/BSA, bringing them under federal regulation.","Government"
"2013-03-28","Bitcoin market cap surpasses $1 billion for the first time as mainstream attention begins to grow.","#OfficialBitcoin"
"2013-03-28","~$92 — Market cap surpasses $1B for the first time.","#OfficialBitcoin"
"2013-04-01","Bitcoin price breaks $100 barrier, driven by media attention and growing investor interest.","#OfficialBitcoin"
"2013-04-03","Instawallet hack forces closure after 35,000 BTC ($4.6M) stolen in a single attack.","#OfficialBitcoin"
"2013-04-09","~$266 — Price spikes to $266 before crashing to $50 within hours; extreme volatility.","#OfficialBitcoin"
"2013-04-11","~$266 — Blow-off top; 5–10% daily gains before sharp correction.","#OfficialBitcoin"
"2013-04-26","Wired reports 45% of Bitcoin exchanges since 2009 had closed or been hacked, showing early risks.","#OfficialBitcoin"
"2013-05-01","Mining difficulty adjustments accelerate dramatically as ASIC adoption spreads globally.","#OfficialBitcoin"
"2013-05-01","btcd announced by Conformal (later Company 0), a full Bitcoin node written in Go.","Bitcoin software variants"
"2013-05-15","Mt. Gox processes 70% of all Bitcoin transactions worldwide, dominating the cryptocurrency exchange market.","#OfficialBitcoin"
"2013-05-15","DHS seizes Mt. Gox funds for unlicensed transmission, tightening U.S. scrutiny.","Government"
"2013-05-18","Ted Nelson claims Satoshi is mathematician Shinichi Mochizuki, a theory Mochizuki quickly denies.","#OfficialBitcoin"
"2013-05-29","Bitcoin-Qt v0.8.2 released, stabilizing new database engine","Bitcoin software variants"
"2013-06-25","Bitcoin-Qt v0.8.3 released, enhancing performance and safety","Bitcoin software variants"
"2013-07-02","~$89 — BTC trades near $89; mid-cycle consolidation after spring turbulence.","#OfficialBitcoin"
"2013-08-06","U.S. court rules Bitcoin can be treated as money; case sets precedent for securities fraud jurisdiction.","Government"
"2013-08-06","Senate mentions BTC in laundering hearings, signaling policy attention.","Government"
"2013-08-19","Germany's Finance Ministry recognizes Bitcoin as a ""unit of account,"" taxable but not legal tender.","Government"
"2013-09-03","Bitcoin-Qt v0.8.4 released, security patch against denial-of-service","Bitcoin software variants"
"2013-09-10","Kraken launches publicly, initially supporting Bitcoin, Litecoin, and euro trading pairs.","Other crypto/web3 topics"
"2013-09-13","Bitcoin-Qt v0.8.5 released, maintenance and security updates","Bitcoin software variants"
"2013-10-02","FBI shuts down Silk Road, seizing 144,000 BTC and disrupting Bitcoin's darknet association.","#OfficialBitcoin"
"2013-10-18","$150–$200 — BTC stabilizes in $150–$200 range after Silk Road shock; market digestion phase.","#OfficialBitcoin"
"2013-10-23","Inputs.io suffers two hacks totaling 4,100 BTC ($1.2M), leading to permanent closure.","#OfficialBitcoin"
"2013-10-26","Hong Kong exchange GBL vanishes with 30M yuan ($5M), leaving ~500 investors without funds.","#OfficialBitcoin"
"2013-10-29","World's first Bitcoin ATM launches in Vancouver, letting users buy and sell BTC with fiat currency.","#OfficialBitcoin"
"2013-11-18","~$500 — BTC clears $500 for first time; late-2013 rally accelerates.","#OfficialBitcoin"
"2013-11-27","Vitalik Buterin publishes the Ethereum whitepaper, outlining Ethereum smart contracts and vision.","Other coins"
"2013-11-29","$350–$1,242 — ATH ~$1,242 on Mt. Gox at month end.","#OfficialBitcoin"
"2013-12-05","China's central bank bans banks and payment firms from Bitcoin dealings, triggering a sharp market drop.","Government"
"2013-12-06","Software engineers Billy Markus and Jackson Palmer launch Dogecoin as a lighthearted, meme-inspired cryptocurrency.","Other coins"
"2013-12-09","Bitcoin-Qt v0.8.6 released, stability fixes for blockchain handling","Bitcoin software variants"
"2013-12-18","A Bitcointalk post titled ""I AM HODLING"" creates the famous HODL meme, later embraced by crypto culture.","#OfficialBitcoin"
"2013-12-19","Dogecoin's value jumps nearly 300% over 72 hours, trading volume surges into billions of coins daily.","Other coins"
"2013-12-25","Dogewallet is hacked, resulting in the theft of over 11 million DOGE.","Other coins"
"2014-01-01","Mining becomes industrial-scale operation with large farms and professional operations.","#OfficialBitcoin"
"2014-01-06","~$869 — BTC at ~$869; post-2013 high consolidates into early-year range.","#OfficialBitcoin"
"2014-01-20","Dogecoin community raises over $25,000 worth of DOGE to help fund the Jamaican bobsled team's trip to the Winter Olympics.","Other coins"
"2014-01-24","BTC China resumes yuan deposits after suspension, following clarification of PBoC restrictions.","#OfficialBitcoin"
"2014-02-01","Chicago Sun-Times tests Bitcoin paywall; later in April begins accepting BTC for subscriptions.","#OfficialBitcoin"
"2014-02-07","Mt. Gox halts Bitcoin withdrawals citing technical issues, hiding massive insolvency from users.","#OfficialBitcoin"
"2014-02-24","Mt. Gox ceases operations and takes website offline, signaling end of world's largest Bitcoin exchange.","#OfficialBitcoin"
"2014-02-24","BTC drops from $600 to $400 following Mt. Gox collapse, triggering widespread market panic and fear.","#OfficialBitcoin"
"2014-02-28","Mt. Gox formally files for bankruptcy protection in Japan, revealing loss of 850,000 Bitcoin total.","#OfficialBitcoin"
"2014-03-03","Flexcoin shuts down permanently after a hack drains its hot wallet the day before.","#OfficialBitcoin"
"2014-03-06","Newsweek names Dorian Prentice Satoshi Nakamoto as Bitcoin's creator; he vehemently denies the story.","#OfficialBitcoin"
"2014-03-09","Mt. Gox files for Chapter 15 bankruptcy protection in the U.S. following its collapse in Japan.","#OfficialBitcoin"
"2014-03-19","Bitcoin Core v0.9.0 released, project renamed to Bitcoin Core","Bitcoin software variants"
"2014-03-20","Mt. Gox announces discovery of ~200,000 BTC in an old wallet, reducing the total missing coins.","#OfficialBitcoin"
"2014-03-25","IRS guidance states Bitcoin is property, not currency, making gains taxable when value is realized.","Government"
"2014-04-08","Wladimir van der Laan becomes Bitcoin Core maintainer, continuing development leadership.","#OfficialBitcoin"
"2014-04-08","Bitcoin Core v0.9.1 released, bug fixes and improvements","Bitcoin software variants"
"2014-04-18","Monero launches with privacy-by-default, using ring signatures and stealth addresses for anonymity.","Other coins"
"2014-05-13","btcd v0.12.0-beta released, first widely used build.","Bitcoin software variants"
"2014-06-16","Bitcoin Core v0.9.2 released, adding stability and RPC fixes","Bitcoin software variants"
"2014-06-18","BitPay sponsors the St. Petersburg Bowl, bringing Bitcoin branding to a nationally televised game.","#OfficialBitcoin"
"2014-06-27","~$592 — BTC ~$592; summer stabilization after Mt. Gox collapse fallout.","#OfficialBitcoin"
"2014-07-04","EBA issues Opinion urging regulators to keep banks from buying, selling, or holding virtual currencies.","Government"
"2014-07-09","Overstock.com becomes the first major U.S. retailer to accept Bitcoin payments for online purchases.","#OfficialBitcoin"
"2014-07-22","Ethereum ICO launches, one of the first major token sales funding Ethereum network development.","Other coins"
"2014-07-28","Bitcoin Dark announced as a Bitcoin fork with hybrid PoW/PoS consensus and privacy features.","Bitcoin software variants"
"2014-07-29","First hardware wallet (Trezor) launches, providing offline security for Bitcoin storage.","#OfficialBitcoin"
"2014-08-28","Bitcoin Dark mainnet launches, creating a new cryptocurrency with anonymity and energy efficiency focus.","Bitcoin software variants"
"2014-09-27","Bitcoin Core v0.9.3 released, continued fixes and refinements","Bitcoin software variants"
"2014-10-04","Bitcoin XT v0.10A released by Mike Hearn, fork of Bitcoin Core with early block size increase proposals.","Bitcoin software variants"
"2014-10-06","Realcoin issues its first tokens on the Bitcoin Omni Layer, marking the start of the USDT stablecoin.","Other coins"
"2014-11-20","Realcoin officially rebrands to Tether, establishing the brand identity of USDT.","Other coins"
"2014-12-13","Libbitcoin Explorer (bx) v2.0 released, first major public CLI tool for interacting with Libbitcoin libraries.","Bitcoin software variants"
"2015-01-01","Bitcoin Improvement Proposals (BIPs) process formalizes development governance.","#OfficialBitcoin"
"2015-01-14","BTC hits bear market bottom at $152, down 75% from 2013 peak, marking the cycle's lowest point ever.","#OfficialBitcoin"
"2015-02-01","Lightning Network whitepaper published by Joseph Poon and Thaddeus Dryja.","#OfficialBitcoin"
"2015-02-16","Bitcoin Core v0.10.0 released, major release with headers-first sync","Bitcoin software variants"
"2015-03-12","Blockstream publishes Sidechains whitepaper, sparking design debate on scaling.","Bitcoin software variants"
"2015-04-27","Bitcoin Core v0.10.1 released, bug fixes and network upgrades","Bitcoin software variants"
"2015-05-07","Paxos receives NYDFS's first trust charter for a virtual currency firm.","Other crypto/web3 topics"
"2015-05-19","Bitcoin Core v0.10.2 released, improving DoS resistance","Bitcoin software variants"
"2015-06-01","Block size debate intensifies in community as transaction fees rise.","#OfficialBitcoin"
"2015-07-04","BIP66 (Strict DER encoding) activates, improving transaction standardization.","#OfficialBitcoin"
"2015-07-04","Knots v0.11 released, aligning with Bitcoin Core 0.11 but with policy changes (higher relay fee, different mempool rules).","Bitcoin software variants"
"2015-07-09","XT proposal to raise block size ignites broad, long-running community debate.","Bitcoin software variants"
"2015-07-12","Bitcoin Core v0.11.0 released, new features and major updates","Bitcoin software variants"
"2015-07-30","Ethereum genesis block mined, officially launching the Ethereum mainnet for programmable contracts.","Other coins"
"2015-08-01","Mark Karpeles arrested in Japan on charges of data manipulation and embezzlement of user funds.","#OfficialBitcoin"
"2015-08-15","Bitcoin XT proposes 8MB blocks, creating first major scaling proposal.","#OfficialBitcoin"
"2015-08-15","Bitcoin XT v0.11A released, implementing BIP101 for 8 MB blocks, gaining wide attention during blocksize debate.","Bitcoin software variants"
"2015-08-25","Bitcoin XT v0.11B released, adding bug fixes and wallet improvements.","Bitcoin software variants"
"2015-08-25","First Litecoin halving cuts block reward from 50 LTC to 25 LTC.","Other coins"
"2015-10-14","Bitcoin Core v0.10.3 released, further bug and security fixes","Bitcoin software variants"
"2015-10-15","Bitcoin Core v0.11.1 released, patch for critical issue","Bitcoin software variants"
"2015-10-25","Bitcoin XT v0.11C released, a maintenance patch update.","Bitcoin software variants"
"2015-11-13","Bitcoin Core v0.11.2 released, follow-up fixes and refinements","Bitcoin software variants"
"2015-11-22","btcd v0.12.0-beta updated to include CHECKLOCKTIMEVERIFY (CLTV) support.","Bitcoin software variants"
"2015-12-08","Wired and Gizmodo publish reports identifying Australian Craig Wright as the likely Satoshi Nakamoto.","#OfficialBitcoin"
"2015-12-09","BIP65 (CHECKLOCKTIMEVERIFY) activates, enabling time-locked transactions.","#OfficialBitcoin"
"2016-01-01","Multiple implementations emerge (Core, XT, Classic, Unlimited) creating healthy diversity.","#OfficialBitcoin"
"2016-01-10","Bitcoin Classic v1.0.0 released, introducing proposal to increase block size limit to 2 MB.","Bitcoin software variants"
"2016-01-14","The Lightning Network white paper is published, proposing off-chain scaling for faster BTC transactions.","#OfficialBitcoin"
"2016-01-14","Lightning Labs founded by Elizabeth Stark to develop Lightning Network infrastructure.","#OfficialBitcoin"
"2016-01-19","Kraken acquires Coinsetter and Cavirtex, expanding its footprint in U.S. and Canadian markets.","Other crypto/web3 topics"
"2016-01-20","Bitcoin Classic v1.0.1 released, bug fixes and user interface improvements.","Bitcoin software variants"
"2016-01-23","Bitcoin XT v0.11D released, adjusting activation logic for larger blocks in response to feedback.","Bitcoin software variants"
"2016-01-23","Bitcoin Unlimited v0.10.0 released, first version introducing Emergent Consensus idea.","Bitcoin software variants"
"2016-02-14","Bitcoin Classic v1.0.2 released, stability update with bug fixes.","Bitcoin software variants"
"2016-02-18","Bitcoin Unlimited v0.11.0 released, bug fixes and stability improvements.","Bitcoin software variants"
"2016-02-21","Bitcoin Classic proposes 2MB blocks as compromise solution.","#OfficialBitcoin"
"2016-02-22","btcd v0.12.1-beta released, adding CHECKSEQUENCEVERIFY (CSV) and relative timelocks.","Bitcoin software variants"
"2016-02-23","Bitcoin Core v0.12.0 released, new features and enhancements","Bitcoin software variants"
"2016-02-23","Knots v0.12 released, introducing Full Replace-by-Fee (RBF) policy.","Bitcoin software variants"
"2016-03-03","Bitcoin Classic v1.0.3 released, minor fixes and usability improvements.","Bitcoin software variants"
"2016-03-04","Craig Wright claims Satoshi identity; disputed, amplifies identity controversies.","#OfficialBitcoin"
"2016-03-14","Ethereum Homestead upgrade activates, making the Ethereum blockchain stable and production-ready.","Other coins"
"2016-03-31","Bitcoin Classic v1.0.4 released, maintenance update for network stability.","Bitcoin software variants"
"2016-04-12","Bitcoin Unlimited v0.11.1 released, refining Emergent Consensus mechanism.","Bitcoin software variants"
"2016-04-15","Bitcoin Core v0.12.1 released, SegWit preparations and fixes","Bitcoin software variants"
"2016-04-30","The DAO launches on Ethereum with a 28-day funding window, pioneering decentralized venture capital.","Other coins"
"2016-05-02","Craig Wright publicly claims to be Satoshi but fails to provide cryptographic proof to back his claim.","#OfficialBitcoin"
"2016-05-15","The DAO on Ethereum raises over $100M, becoming the largest crowdfunding in Ethereum's history.","Other coins"
"2016-05-18","Bitcoin Classic v1.1.0 released, improving mining and network features.","Bitcoin software variants"
"2016-05-18","Bitcoin Unlimited v0.11.2 released, stability update with bug fixes.","Bitcoin software variants"
"2016-05-21","Segregated Witness (SegWit) proposed as scaling solution without hard fork.","#OfficialBitcoin"
"2016-06-03","Japan amends Payment Services Act, defining ""virtual currency"" and regulating exchange operators.","Government"
"2016-06-16","Bitcoin Classic v1.1.1 released, bug fix update for v1.1.0.","Bitcoin software variants"
"2016-06-17","Vitalik warns that The DAO on Ethereum is under attack; ETH price drops sharply during the exploit.","Other coins"
"2016-06-18","Attacker drains 3.6M ETH from The DAO, sparking an Ethereum debate on immutability and governance.","Other coins"
"2016-06-20","Ledger Nano S democratizes hardware wallets with affordable, secure Bitcoin storage.","#OfficialBitcoin"
"2016-06-20","Ledger Nano S officially released—becoming the industry's affordable hardware wallet standard.","Other crypto/web3 topics"
"2016-06-23","Bitcoin Unlimited v0.11.3 released, improving block propagation.","Bitcoin software variants"
"2016-07-09","BIP68/112/113 (Relative time-locks) activate, enabling payment channels.","#OfficialBitcoin"
"2016-07-20","Ethereum hard forks to recover DAO funds, splitting Ethereum into ETH and Ethereum Classic (ETC).","Other coins"
"2016-07-28","Bitcoin Classic v1.1.2 released, performance and security patches.","Bitcoin software variants"
"2016-08-01","Bitcoin Unlimited v0.12.0 released, major update focused on network performance.","Bitcoin software variants"
"2016-08-02","Bitfinex hack steals 119,756 BTC (~$72M); exchange socializes losses across customers via BFX tokens.","#OfficialBitcoin"
"2016-08-06","Bitfinex announces a 36% ""haircut"" on all customer accounts to share the hack losses.","Other crypto/web3 topics"
"2016-08-23","Bitcoin Core v0.13.0 released, major performance improvements","Bitcoin software variants"
"2016-08-23","Knots v0.13 released, tracking Core 0.13 (Compact Blocks, improved fee estimation).","Bitcoin software variants"
"2016-08-25","Bitcoin Unlimited v0.12.1 released, bug fix for v0.12.0.","Bitcoin software variants"
"2016-09-07","Bitcoin Classic v1.2.0 released, major update adding Compact Blocks for faster block propagation.","Bitcoin software variants"
"2016-09-15","Bitcoin Classic v1.2.1 released, bug fixes following v1.2.0.","Bitcoin software variants"
"2016-10-14","Bitcoin Unlimited v1.0.0 released, first stable “1.0” labeled release.","Bitcoin software variants"
"2016-10-15","Komodo ICO begins; BTCD holders offered 1:1 swap into KMD.","Bitcoin software variants"
"2016-10-18","Ethereum Tangerine Whistle upgrade adjusts gas costs to counter Ethereum network DoS attacks.","Other coins"
"2016-10-25","Ethereum Spurious Dragon upgrade cleans state bloat and strengthens Ethereum chain security.","Other coins"
"2016-10-27","Bitcoin Core v0.13.1 released, introducing SegWit soft fork","Bitcoin software variants"
"2016-10-28","Zcash launches with zero-knowledge proofs (zk-SNARKs), enabling fully private transactions.","Other coins"
"2016-11-13","Bitcoin Classic v1.3.0 released, controversial version proposing removal of 2 MB hard limit.","Bitcoin software variants"
